s__Enterococcus_B hirae	GCA_000271405.2
s__Mobilitalea luporum	GCF_900070325.1
s__Brevefilum fermentans	GCF_900184705.1
s__Legionella_C spiritensis	GCF_900186965.1
s__Chlamydophila sp900239945	GCF_900239945.1
s__Serratia_F odorifera	GCF_900635445.1
s__Aggregatibacter aphrophilus	GCF_900636915.1
s__Neisseria meningitidis	GCF_900638555.1
s__Mycoplasmopsis columbinasalis	GCF_900660705.1
s__F202Z8 sp005943945	GCA_005943945.1
s__SRT547 sp009002475	GCA_009002475.1
s__Paralachnospira sp014337195	GCA_014337195.1
s__SLSW01 sp016925615	GCA_016925615.1
s__Bifidobacterium adolescentis	GCF_000010425.1
s__Ruegeria_B pomeroyi	GCF_000011965.2
s__Syntrophotalea carbinolica	GCF_000012885.1
s__JA-3-3Ab sp000013225	GCF_000013225.1
s__Roseicyclus sp000013565	GCF_000013565.1
s__Bradyrhizobium denitrificans	GCF_000015165.1
s__Nocardioides sp000015265	GCF_000015265.1
s__Dinoroseobacter shibae	GCF_000018145.1
s__Alkaliphilus_B oremlandii	GCF_000018325.1
s__Chloroflexus aurantiacus	GCF_000018865.1
s__Anaeromyxobacter dehalogenans	GCF_000022145.1
s__Acidimicrobium ferrooxidans	GCF_000023265.1
s__Cryptobacterium curtum	GCF_000023845.1
s__Robiginitalea biformata	GCF_000024125.1
s__Allochromatium vinosum	GCF_000025485.1
s__Bordetella_A petrii	GCF_000067205.1
s__Corynebacterium urealyticum	GCF_000069945.1
s__Desulfurivibrio alkaliphilus	GCF_000092205.1
s__Sediminispirochaeta smaragdinae	GCF_000143985.1
s__Thermosediminibacter oceani	GCF_000144645.1
s__Caldicellulosiruptor obsidiansis	GCF_000145215.1
s__Lachnospira eligens	GCF_000146185.1
s__Octadecabacter antarcticus	GCF_000155675.2
s__Enterobacter_B lignolyticus	GCF_000164865.1
s__Terriglobus saanensis	GCF_000179915.2
s__Oceanithermus profundus	GCF_000183745.1
s__Syntrophobotulus glycolicus	GCF_000190635.1
s__Anaerolinea thermophila	GCF_000199675.1
s__Pusillimonas_C sp000209655	GCF_000209655.1
s__Lacinutrix sp000211855	GCF_000211855.2
s__Cellulomonas fimi	GCF_000212695.1
s__Hydrogenobaculum sp000213785	GCF_000213785.1
s__Pseudomonas_E fulva_B	GCF_000213805.1
s__Treponema_H azotonutricium	GCF_000214355.1
s__Pseudothermotoga thermarum	GCF_000217815.1
s__Moranella endobia	GCF_000219175.1
s__Chromatium violascens	GCF_000227745.2
s__Desulfosporosinus orientis	GCF_000235605.1
s__Sphaerochaeta pleomorpha	GCF_000236685.1
s__Pediococcus claussenii	GCF_000237995.1
s__Pseudoalteromonas spongiae	GCF_000238255.3
s__Spirochaeta_B africana	GCF_000242595.2
s__Ruminiclostridium sp000244875	GCF_000244875.1
s__Corallococcus coralloides	GCF_000255295.1
s__Blattabacterium sp000262715	GCF_000262715.1
s__Mycobacterium chubuense_A	GCF_000266905.1
s__Kosakonia radicincitans	GCF_000280495.2
s__Amphibacillus xylanus	GCF_000307165.1
s__Trichormus sp000316645	GCF_000316645.1
s__Pseudomonas_E protegens	GCF_000397205.1
s__Corynebacterium terpenotabidum	GCF_000418365.1
s__Pseudomonas_E putida_Q	GCF_000498395.2
s__Chania multitudinisentens	GCF_000520015.2
s__Hymenobacter swuensis	GCF_000576555.1
s__Pseudomonas_A stutzeri_D	GCF_000590475.1
s__Paenibacillus sabinae	GCF_000612505.1
s__Pseudomonas_A stutzeri_A	GCF_000661915.1
s__Pelosinus sp000725345	GCF_000725345.1
s__Amycolatopsis methanolica	GCF_000739085.1
s__Basilea psittacipulmonis	GCF_000743945.1
s__Cedecea neteri_C	GCF_000758305.1
s__Clostridium baratii	GCF_000789395.1
s__Pandoraea pulmonicola	GCF_000815105.2
s__Allofrancisella guangzhouensis	GCF_000815225.1
s__Novosphingobium sp000876675	GCF_000876675.2
s__Tatlockia micdadei	GCF_000953635.1
s__Acholeplasma_C brassicae	GCF_000967915.1
s__Kangiella geojedonensis	GCF_000981765.1
s__Cronobacter sakazakii	GCF_000982825.1
s__Paenibacillus durus_B	GCF_000993825.1
s__Bifidobacterium angulatum	GCF_001025155.1
s__Clostridium_AM carboxidivorans	GCF_001038625.1
s__Clostridioides difficile	GCF_001077535.1
s__Rufibacter radiotolerans	GCF_001078055.1
s__Pseudoduganella sp001191005	GCF_001191005.1
s__Vulgatibacter incomptus	GCF_001263175.1
s__Streptomyces ambofaciens	GCF_001267885.1
s__Herbaspirillum hiltneri	GCF_001267925.1
s__Deferrimonas soudanensis	GCF_001278055.1
s__Actinomyces sp001278845	GCF_001278845.1
s__Lawsonella clevelandensis	GCF_001293125.1
s__Algibacter_A alginicilyticus	GCF_001310225.1
s__Salinivirga cyanobacteriivorans	GCF_001443605.1
s__Fusobacterium polymorphum	GCF_001457555.1
s__Planococcus rifietoensis	GCF_001465795.2
s__Pseudoalteromonas rubra_B	GCF_001482385.1
s__Phaeospirillum sp001511835	GCF_001511835.1
s__Aerococcus urinaeequi	GCF_001543205.1
s__Sphingobium sp001563265	GCF_001563265.1
s__Psychrobacter sp001593285	GCF_001593285.1
s__Mycobacterium immunogenum	GCF_001605725.1
s__Planctomyces_A sp001610835	GCF_001610835.1
s__Pontibacter akesuensis	GCF_001611675.1
s__Dokdonella koreensis	GCF_001632775.1
s__Marinobacterium_A aestuarii	GCF_001651805.1
s__Brachyspira hyodysenteriae	GCF_001676785.2
s__Woeseia oceani	GCF_001677435.1
s__Dermabacter vaginalis	GCF_001678905.1
s__Bacteroides caecimuris	GCF_001688725.2
s__Limnothrix sp001693255	GCF_001693255.1
s__Helicobacter_G sp001693335	GCF_001693335.1
s__Wenyingzhuangia fucanilytica	GCF_001697185.1
s__Sphingomonas panacis	GCF_001717955.1
s__Leptospira tipperaryensis	GCF_001729245.1
s__Pectobacterium wasabiae	GCF_001742185.1
s__Dehalococcoides mccartyi_A	GCF_001889305.1
s__Tardibacter chloracetimidivorans	GCF_001890385.1
s__Paraburkholderia sp001922345	GCF_001922345.1
s__Thioclava nitratireducens	GCF_001940525.2
s__Prevotella intermedia	GCF_001953955.1
s__Streptomyces pactum_A	GCF_002005225.1
s__Shewanella psychrophila	GCF_002005305.1
s__Cellvibrio sp002007605	GCF_002007605.1
s__Pseudomonas_E azotoformans_B	GCF_002007785.1
s__Campylobacter_A pinnipediorum	GCF_002021925.1
s__Streptomyces gilvosporeus	GCF_002082195.1
s__Methylocystis bryophila	GCF_002117405.1
s__Pseudorhodoplanes sinuspersici	GCF_002119765.1
s__Oxalobacter formigenes	GCF_002127965.1
s__Stenotrophomonas maltophilia_G	GCF_002138415.1
s__Sphingomonas_E sp002151445	GCF_002151445.1
s__Mycobacterium dioxanotrophicus	GCF_002157835.1
s__Idiomarina piscisalsi_A	GCF_002211765.1
s__Chryseobacterium sp002216065	GCF_002216065.1
s__Neisseria sp002237445	GCF_002237445.1
s__Antarctobacter heliothermus_B	GCF_002237555.1
s__Thermogutta terrifontis	GCF_002277955.1
s__Planktophila sulfonica	GCF_002288065.1
s__Myxococcus macrosporus	GCF_002305895.1
s__Nibricoccus aquaticus	GCF_002310495.1
s__Sulfuricaulis limicola	GCF_002355735.1
s__Pseudomonas_E sp002356535	GCF_002356535.2
s__Pseudomonas_E sp002753995	GCF_002753995.1
s__Idiomarina sp002808045	GCF_002808045.1
s__Nostoc flagelliforme_A	GCF_002813575.1
s__Tullyiplasma syrphidae	GCF_002843565.1
s__ATCC-39006 sp002847015	GCF_002847015.1
s__Niveispirillum cyanobacteriorum	GCF_002868735.1
s__Tamlana_A carrageenivorans	GCF_002893765.1
s__Leclercia sp002902985	GCF_002902985.1
s__Sinorhizobium fredii_C	GCF_002944405.1
s__Sorangium cellulosum_E	GCF_002950945.1
s__Pulveribacter suum	GCF_003013695.1
s__Cutibacterium acnes	GCF_003030305.1
s__Plantactinospora sp003030345	GCF_003030345.1
s__Paenibacillus_A sp003060825	GCF_003060825.1
s__Dietzia psychralcaliphila	GCF_003096095.1
s__Salinisphaera sp003177035	GCF_003177035.1
s__Blattabacterium clevelandi	GCF_003268615.1
s__Paracoccus mutanolyticus	GCF_003285265.1
s__Paracoccus suum	GCF_003324675.1
s__Runella sp003325355	GCF_003325355.1
s__Aurantimicrobium sp003325955	GCF_003325955.1
s__Metamycoplasma phocicerebrale	GCF_003383595.3
s__Thermosynechococcus elongatus_B	GCF_003555505.1
s__Clostridium septicum	GCF_003606265.1
s__Bartonella kosoyi	GCF_003606325.2
s__Streptococcus gwangjuense	GCF_003627155.1
s__JN-1 sp003718715	GCF_003718715.1
s__RICK01 sp003932735	GCF_003932735.1
s__Mesorhizobium sp003952465	GCF_003952465.1
s__Enterococcus_B mundtii_C	GCF_003957375.1
s__Parasedimentitalea marina	GCF_004006175.1
s__Hydrogenovibrio thermophilus	GCF_004028275.1
s__Ornithobacterium rhinotracheale_A	GCF_004088395.1
s__Vampirococcus_B archaeovorus	GCF_004102945.1
s__Bradyrhizobium guangxiense	GCF_004114915.1
s__Luteimonas sp004118975	GCF_004118975.1
s__Paenibacillus_C protaetiae	GCF_004135365.1
s__Marinobacter sp004353225	GCF_004353225.1
s__Brevundimonas sp004683885	GCF_004683885.1
s__Sphingomonas sp004795835	GCF_004795835.1
s__Pseudolabrys sp005153485	GCF_005153485.1
s__Neobacillus sp005154805	GCF_005154805.1
s__Arthrobacter_I sp005937985	GCF_005937985.2
s__Nocardioides sp006007965	GCF_006007965.1
s__Halarcobacter anaerophilus	GCF_006459125.1
s__Salicibibacter halophilus	GCF_006740705.1
s__Bdellovibrio sp006874645	GCF_006874645.1
s__Spirosoma sp006965485	GCF_006965485.1
s__Rhodoferax sp006974105	GCF_006974105.1
s__Tomitella sp007559025	GCF_007559025.1
s__Anatilimnocola aggregata	GCF_007747655.1
s__Pelagibacter sp007833635	GCF_007833635.1
s__Cellulomonas sp008033115	GCF_008033115.1
s__Campylobacter_D volucris	GCF_008245045.1
s__Acetobacter sp008365315	GCF_008365315.1
s__Paenibacillus amylolyticus_B	GCF_008386395.1
s__Streptomyces venezuelae_B	GCF_008642355.1
s__Cellvibrio sp008806975	GCF_008806975.1
s__Planobacterium sp008831505	GCF_008831505.1
s__Shewanella algae	GCF_009183365.2
s__Ancylobacter sp009223885	GCF_009223885.1
s__Acidithiobacillus thiooxidans	GCF_009662475.1
s__Pedococcus sp009707485	GCF_009707485.1
s__SZUA-540 sp009731355	GCF_009731355.2
s__Erwinia sp009738185	GCF_009738185.1
s__Variovorax paradoxus_G	GCF_009755665.1
s__Mycoplasmopsis_A sp009792315	GCF_009792315.1
s__Streptomyces broussonetiae	GCF_009796285.1
s__Flavobacterium phaeum_A	GCF_009799805.1
s__Neorickettsia findlayensis	GCF_009856525.1
s__Hydrogenophaga sp009859475	GCF_009859475.1
s__Thermoanaerobacterium aotearoense	GCF_009905255.1
s__Xylophilus rhododendri	GCF_009906855.1
s__Nibribacter ruber	GCF_009913235.1
s__Mixta intestinalis	GCF_009914055.1
s__Pontibacter russatus	GCF_009931655.1
s__Methylosinus sp009936375	GCF_009936375.1
s__Vibrio panuliri	GCF_009938205.1
s__Treponema sp010365865	GCF_010365865.1
s__Mycobacterium paraseoulense	GCF_010731655.1
s__Jeotgalibaca arthritidis	GCF_011100465.1
s__Leucobacter viscericola	GCF_011299575.1
s__Leucobacter coleopterorum	GCF_011382985.1
s__Acinetobacter lanii	GCF_011578285.1
s__Microbacterium_A chengjingii	GCF_011751765.2
s__Legionella sp011764505	GCF_011764505.1
s__L13 sp012955605	GCF_012955605.1
s__Pseudomonas_E fluorescens_BT	GCF_012974785.1
s__Usitatibacter rugosus	GCF_013003965.1
s__Aliarcobacter venerupis	GCF_013201665.1
s__Campylobacter_B blaseri	GCF_013201895.1
s__Mucilaginibacter mali	GCF_013283875.1
s__Microbulbifer sp013367775	GCF_013367775.1
s__Nocardia sp013744875	GCF_013744875.1
s__Ancrocorticia sp014041995	GCF_014041995.1
s__Enterobacter cloacae_P	GCF_014169315.1
s__Pseudomonas_E sp900187515	GCF_014268445.2
s__Fusobacterium_A sp900015295	GCF_014337255.1
s__Caproicibacterium amylolyticum	GCF_014467055.1
s__Sphingomicrobium sediminicola	GCF_014489515.1
s__Corynebacterium sp014490575	GCF_014490575.1
s__Kosakonia sp014490785	GCF_014490785.1
s__Rothia amarae	GCF_014705945.2
s__Roseococcus sp014764365	GCF_014764365.1
s__Haemophilus_D sp900755445	GCF_014931275.1
s__Acinetobacter piscicola_A	GCF_015218165.1
s__Kordiimonas pumila	GCF_015240255.1
s__Mesorhizobium_F sp015500055	GCF_015500055.1
s__Lactococcus garvieae_A	GCF_016027715.1
s__Corynebacterium aurimucosum_E	GCF_016127015.1
s__Mesorhizobium sp016591715	GCF_016591715.1
s__Mycobacterium heckeshornense	GCF_016592155.1
s__Mesorhizobium sp016756535	GCF_016756535.1
s__Keratinibaculum paraultunense	GCF_016767175.1
s__Pseudomonas_E sp001259595	GCF_016861355.1
s__Oceanihabitans sp016864015	GCF_016864015.1
s__Streptomyces yunnanensis	GCF_016917755.1
s__Mycoplasmopsis sp016925555	GCF_016925555.1
s__Cx-87 sp014529995	GCF_017161405.1
s__Methylacidimicrobium sp017310545	GCF_017310545.1
s__Geobacter sp017338855	GCF_017338855.1
s__UBA1535 sp017352195	GCF_017352195.1
s__JL129W03 sp017358165	GCF_017358165.1
s__Polaribacter sp017498485	GCF_017498485.1
s__Xanthomonas fragariae_A	GCF_017603965.1
s__Pseudoalteromonas viridis	GCF_017742995.1
s__Prevotella melaninogenica_B	GCF_018127965.1
s__Lentilactobacillus buchneri	GCF_018314255.1
s__Shewanella dokdonensis	GCF_018394335.1
s__Akkermansia muciniphila_B	GCF_018847375.1
s__Morganella morganii_A	GCF_019242955.1
s__Proteiniphilum saccharofermentans	GCF_900095135.1
s__Dickeya aquatica	GCF_900095885.1
s__Buchnera aphidicola_J	GCF_900128595.1
s__Propionimicrobium sp900155645	GCF_900155645.1
s__Eikenella corrodens	GCF_900187105.1
s__Streptococcus uberis	GCF_900475595.1
s__Pedobacter sp900564155	GCF_900564155.1
s__Chryseobacterium nakagawai	GCF_900637665.1
s__Trueperella bialowiezensis	GCF_900637955.1
s__Mycoplasmopsis_A anatis	GCF_900660655.1
s__Tuwongella immobilis	GCF_901538355.1
s__Listeria sp902806445	GCF_902806445.1
s__Treponema_D buccale	GCF_902983995.1
s__Microbacterium sp002456035	GCF_904066215.1
s__UBA5540 sp009905215	GCA_009905215.1
s__Ga0077545 sp014191545	GCA_014191545.1
s__Chlamydophila pneumoniae	GCF_000007205.1
s__Tropheryma whipplei	GCF_000007485.1
s__Idiomarina loihiensis	GCF_000008465.1
s__Borreliella burgdorferi	GCF_000008685.2
s__Buchnera aphidicola_I	GCF_000009605.1
s__Streptomyces avermitilis	GCF_000009765.2
s__Kocuria rhizophila_A	GCF_000010285.1
s__Vesicomyosocius okutanii	GCF_000010405.1
s__Prochlorococcus_C marinus_B	GCF_000011485.1
s__Psychrobacter arcticus	GCF_000012305.1
s__Colwellia psychrerythraea_A	GCF_000012325.1
s__Prochlorococcus_A marinus_L	GCF_000012645.1
s__Hahella chejuensis	GCF_000012985.1
s__Herminiimonas sp000013625	GCF_000013625.1
s__Clostridium_H novyi	GCF_000014125.1
s__Shewanella loihica	GCF_000016065.1
s__Desulfotomaculum reducens	GCF_000016165.1
s__Parvibaculum lavamentivorans	GCF_000017565.1
s__Shewanella pealeana	GCF_000018285.1
s__Desulforudis audaxviator	GCF_000018425.1
s__Paraburkholderia phytofirmans	GCF_000020125.1
s__Thioalkalivibrio_A sulfidiphilus	GCF_000021985.1
s__Rhizobium leguminosarum_J	GCF_000023185.1
s__Kribbella flavida	GCF_000024345.1
s__Nakamurella multipartita	GCF_000024365.1
s__Anaplasma centrale	GCF_000024505.1
s__Sulfurospirillum deleyianum	GCF_000024885.1
s__Sphaerobacter thermophilus	GCF_000024985.1
s__Shewanella violacea	GCF_000091325.1
s__Meiothermus_B silvanus	GCF_000092125.1
s__Micromonospora aurantiaca	GCF_000145235.1
s__Thermoanaerobacterium thermosaccharolyticum	GCF_000145615.1
s__Parvularcula bermudensis	GCF_000152825.2
s__Alteromonas macleodii	GCF_000172635.2
s__Mesorhizobium ciceri	GCF_000185905.1
s__Thermoanaerobacterium xylanolyticum	GCF_000189775.2
s__Croceibacter atlanticus	GCF_000196315.1
s__Zymomonas pomaceae	GCF_000218875.1
s__Streptomyces xinghaiensis	GCF_000220705.2
s__Amycolatopsis mediterranei	GCF_000220945.1
s__Muricauda ruestringensis	GCF_000224085.1
s__Pelagibacterium halotolerans	GCF_000230555.1
s__Fervidobacterium pennivorans	GCF_000235405.2
s__Riemerella anatipestifer	GCF_000252855.1
s__Bernardetia litoralis	GCF_000265505.1
s__Helicobacter pylori_C	GCF_000277405.1
s__Dwaynesavagella sp000283555	GCF_000283555.1
s__Synechocystis sp000284455	GCF_000284455.1
s__Simiduia agarivorans	GCF_000305785.2
s__Cyanobium gracile	GCF_000316515.1
s__PCC-6312 sp000316685	GCF_000316685.1
s__PCC-7502 sp000317085	GCF_000317085.1
s__Mycobacterium sp000328565	GCF_000328565.1
s__Corynebacterium halotolerans	GCF_000341345.1
s__Blattabacterium cuenoti_B	GCF_000348805.1
s__Clavibacter nebraskensis	GCF_000355695.1
s__Methylobacterium mesophilicum	GCF_000364445.2
s__Rickettsia prowazekii	GCF_000367405.1
s__Saccharimonas aalborgensis	GCF_000392435.1
s__Symbiobacter mobilis	GCF_000477435.1
s__Spiribacter curvatus	GCF_000485905.1
s__Thermocrinis ruber	GCF_000512735.1
s__Synechococcus_E sp000737535	GCF_000737535.1
s__Cedecea neteri_A	GCF_000757825.1
s__Pseudomonas_E cremoricolorata_A	GCF_000759535.1
s__Novosphingobium pentaromativorans	GCF_000767465.1
s__Collimonas arenae_A	GCF_000786695.1
s__Nanosynbacter lyticus	GCF_000803625.1
s__Mesomycoplasma flocculare	GCF_000815065.1
s__Staphylococcus hyicus	GCF_000816085.1
s__Campylobacter_D insulaenigrae	GCF_000816185.1
s__Thiolapillus brandeum	GCF_000828615.1
s__Wolbachia sp000829315	GCF_000829315.1
s__Paucilactobacillus hokkaidonensis	GCF_000829395.1
s__Companilactobacillus heilongjiangensis	GCF_000831645.3
s__Streptomyces cyaneogriseus	GCF_000931445.1
s__Tatlockia hackeliae	GCF_000953655.1
s__Martelella endophytica	GCF_000960975.1
s__Streptomyces xiamenensis	GCF_000993785.3
s__Kiritimatiella glycovorans	GCF_001017655.1
s__Corynebacterium testudinoris	GCF_001021045.1
s__Burkholderia plantarii	GCF_001411805.1
s__Bacillus_A thuringiensis_N	GCF_001455345.1
s__Pandoraea apista	GCF_001465595.2
s__Streptococcus sp001553685	GCF_001553685.1
s__Hymenobacter sp001562275	GCF_001562275.1
s__Sphingobium sp001563285	GCF_001563285.1
s__Peribacillus simplex_A	GCF_001578185.1
s__Hymenobacter sp001596155	GCF_001596155.1
s__Moraxella ovis	GCF_001636015.1
s__Isoptericola dokdonensis	GCF_001636295.1
s__Streptococcus pantholopis	GCF_001642085.1
s__Chryseobacterium glaciei	GCF_001648155.1
s__Cryobacterium arcticum_A	GCF_001679725.1
s__Paraurantiacibacter namhicola	GCF_001687545.1
s__Bradyrhizobium paxllaeri	GCF_001693515.2
s__Microbulbifer aggregans	GCF_001750105.1
s__Polaribacter vadi	GCF_001761365.1
s__Desulfococcus multivorans	GCF_001854245.1
s__Cupriavidus malaysiensis	GCF_001854325.1
s__Henriciella sp001854405	GCF_001854405.1
s__Pseudomonas_E frederiksbergensis_B	GCF_001874645.1
s__Pseudofrancisella frigiditurris	GCF_001880225.1
s__Alteraurantiacibacter gangjinensis	GCF_001886695.1
s__Paenibacillus xylanexedens_A	GCF_001908275.1
s__Pseudomonas_E alcaliphila_B	GCF_001941865.1
s__Arthrobacter sp001969265	GCF_001969265.1
s__Streptococcus oralis_H	GCF_001983955.1
s__Arachnia flavescens	GCF_001998865.1
s__Vagococcus penaei	GCF_001998885.1
s__Rivicola sp002002905	GCF_002002905.1
s__Sphingomonas sp002002925	GCF_002002925.1
s__Pseudomonas_E putida_J	GCF_002025705.1
s__Phaeospirillum sp002105535	GCF_002105535.1
s__Nucleicultrix amoebiphila	GCF_002117145.1
s__Ketogulonicigenium robustum	GCF_002117445.1
s__Oleiphilus messinensis	GCF_002162375.1
s__Stenotrophomonas sp002192255	GCF_002192255.1
s__Anoxybacillus flavithermus_G	GCF_002197485.1
s__Natronoflexus saponilacus	GCF_002201795.1
s__Paraphotobacterium marinum	GCF_002216855.1
s__Aquitalea magnusonii_B	GCF_002217795.2
s__Bosea sp002220095	GCF_002220095.1
s__Bacillus_H clausii	GCF_002250115.1
s__Methylobacterium populi_A	GCF_002355515.1
s__Companilactobacillus farciminis	GCF_002706745.1
s__Brevibacillus_B laterosporus	GCF_002706795.1
s__Pseudomonas_E putida_T	GCF_002741075.1
s__Caulobacter sp002742645	GCF_002742645.2
s__Phyllobacterium zundukense	GCF_002764115.1
s__Formimonas warabiya	GCF_002777255.1
s__Mariprofundus ferrinatatus	GCF_002795825.1
s__Bradyrhizobium sp002831585	GCF_002831585.1
s__Kangiella profundi	GCF_002838765.1
s__Enterococcus_D sp002850555	GCF_002850555.1
s__Escherichia marmotae	GCF_002900365.1
s__Ahniella affigens	GCF_003015185.1
s__Variovorax sp003019815	GCF_003019815.1
s__Campylobacter_A concisus_L	GCF_003048595.2
s__Campylobacter_A concisus_C	GCF_003048615.2
s__Streptomyces spongiicola	GCF_003122365.1
s__Fukatsuia symbiotica	GCF_003122425.1
s__Rhodococcus sp003130705	GCF_003130705.1
s__Thauera_A hydrothermalis	GCF_003345255.1
s__Haemophilus haemolyticus_I	GCF_003352385.1
s__Ruegeria sp003443535	GCF_003443535.1
s__Arachidicoccus soli	GCF_003600625.1
s__Streptomyces sp003116725	GCF_003610995.1
s__Brevundimonas naejangsanensis_B	GCF_003627995.1
s__Staphylococcus debuckii	GCF_003718735.1
s__Chryseobacterium shandongense	GCF_003815835.1
s__Chryseobacterium bernardetii_A	GCF_003815975.1
s__Pseudomonas_E sp003852235	GCF_003852235.1
s__Mesorhizobium sp003952425	GCF_003952425.1
s__Shewanella khirikhana	GCF_003957745.1
s__Butyricimonas faecalis	GCF_003991565.1
s__Glycocaulis alkaliphilus	GCF_004000605.1
s__Thiomicrorhabdus aquaedulcis	GCF_004001325.1
s__Fusobacterium_C necrophorum	GCF_004006635.1
s__Caproicibacter sp004103755	GCF_004103755.1
s__Leisingera sp004123675	GCF_004123675.1
s__Serinicoccus sp004322775	GCF_004322775.1
s__Egibacter rhizosphaerae	GCF_004322855.1
s__Parashewanella tropica	GCF_004358445.1
s__Paracoccus liaowanqingii	GCF_004683865.2
s__Citrobacter tructae	GCF_004684345.1
s__Hydrogenovibrio crunogenus_B	GCF_004786015.1
s__Neisseria subflava	GCF_005221305.1
s__Buchnera aphidicola_AP	GCF_005237295.1
s__Trinickia sp005280735	GCF_005280735.1
s__Coxiella burnetii	GCF_005280755.1
s__Streptomyces exfoliatus_B	GCF_005517195.1
s__Pauljensenia odontolytica_C	GCF_005696695.1
s__Pseudomonas_E sp002029345	GCF_006094435.1
s__Gillisia flava	GCF_006159205.1
s__Bacillus_A bombysepticus	GCF_006384875.1
s__Luteibacter pinisoli	GCF_006385595.1
s__Neokomagataea tanensis	GCF_006542335.1
s__Ornithinicoccus sp007197575	GCF_007197575.1
s__Catenovulum sediminis	GCF_007289895.1
